,name,city,country,tags,office_lat,office_lon,funds_raised_float,currency,fx_rate,funds_raised_usd,desing_tag,gaming_tag,funding_tag
207,WorldTV,Limerick,IRL,"tv, channel, video, broadcast, web2ireland",52.6638571,-8.6267726,1000000.0,$,1.0,1000000.0,False,False,False
208,WorldTV,London,GBR,"tv, channel, video, broadcast, web2ireland",51.5001524,-0.1262362,1000000.0,$,1.0,1000000.0,False,False,False
209,5pm,Wake Forest,USA,"projectmanagement, tasks, collaboration, gtd, office2-0, webbasedsoftware, softwareasaservice, groupmanagement",39.3996,-84.5615,0.0,$,1.0,0.0,False,False,False
211,EnterpriseDB,Bedford,USA,"enterprise-software, database, open-source, postgres, postgresql, oracle, mysql, rdbms, data-management, business-intelligence, data-warehousing",40.562967,-74.332355,56600000.0,$,1.0,56600000.0,False,False,True
212,Collarity,Palo Alto,USA,"ad-supported-software, advertising, community, search, widgets, discovery, recommendations",37.407752,-122.154565,12200000.0,$,1.0,12200000.0,False,False,True
213,Vuzit,Philadelphia,USA,"documents, online-document-viewer, online-document-distribution, ajax, web-services, standards, security, dreamit-ventures",39.9564403,-75.1961715,355000.0,$,1.0,355000.0,False,False,False
215,GameDuell,Berlin,DEU,"games, social, cross-platform, berlin, fun, good-time, community",52.5131826,13.3941489,17500000.0,$,1.0,17500000.0,False,False,True
216,Jirbo,Los Angeles,USA,"iphone, ipad, android, mobile, applications, software, development, marketing, advertising, cross-promotion, social-gaming, virtual-currency, mmorpg",34.064629,-118.469316,0.0,$,1.0,0.0,False,True,False
218,Pivotal Labs,San Francisco,USA,"agile, rails, mobile, android, webos, iphone, ipad",37.78691,-122.404403,0.0,$,1.0,0.0,False,False,False
219,Pivotal Labs,New York,USA,"agile, rails, mobile, android, webos, iphone, ipad",40.7343617,-73.9910647,0.0,$,1.0,0.0,False,False,False
220,Pivotal Labs,Boulder,USA,"agile, rails, mobile, android, webos, iphone, ipad",40.019376,-105.273311,0.0,$,1.0,0.0,False,False,False
221,Advaliant,Toronto,CAN,"internet, advertising, marketing, affiliate-network, affiliate-marketing, performance-marketing, search, email-banner, ad-network",43.646599,-79.403014,100000.0,$,1.0,100000.0,False,False,False
222,Advaliant,New York,USA,"internet, advertising, marketing, affiliate-network, affiliate-marketing, performance-marketing, search, email-banner, ad-network",40.743662,-73.984268,100000.0,$,1.0,100000.0,False,False,False
225,Local2Me,San Mateo,USA,"smalltown, webcards, local, advertising",37.566123,-122.323045,0.0,$,1.0,0.0,False,False,False
226,Gorilla Nation Media,Los Angeles,USA,"advertising, community, internet, marketing, media, technology, video",33.988735,-118.368871,0.0,$,1.0,0.0,False,False,False
234,Fluc,Menlo Park,USA,consumer-web,37.454701,-122.1853756,0.0,$,1.0,0.0,False,False,False
235,MOG,Berkeley,USA,"on-demand-music, digital-music, internet-music, internet-radio, music-stream, music-streaming, artist-radio",37.872222,-122.268403,24900000.0,$,1.0,24900000.0,False,False,True
239,SiteSpect,Boston,USA,"ab-testing, multivariate-testing, behavioral-targeting-and-personalization, landing-page-optimization, mobile-web-optimization, web-performance-optimization",42.358283,-71.061688,0.0,$,1.0,0.0,False,False,False
240,Social Gaming Network,Los Angeles,USA,"social, gaming, sgn",37.446823,-122.161523,17100000.0,$,1.0,17100000.0,False,True,True
241,Social Gaming Network,Beverly Hills,USA,"social, gaming, sgn",34.0698494,-118.4054182,17100000.0,$,1.0,17100000.0,False,True,True
